epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3129.16,1.03563,0.55387,1.05926,0.89104,0.82181,0.91163,0.70153,1.10975,0.61945,1.12252,0.000473064,0.000473064,0.000473064
60,3180.14,1.03801,0.55386,1.0618,0.86658,0.8264,0.90529,0.6987,1.10215,0.6117,1.12113,0.000462065,0.000462065,0.000462065
61,3231.38,1.02744,0.54765,1.05663,0.8773,0.82225,0.9079,0.7017,1.10487,0.61922,1.11507,0.000451066,0.000451066,0.000451066
62,3283.89,1.02102,0.54569,1.05661,0.84022,0.85956,0.91141,0.70263,1.10803,0.62298,1.12175,0.000440067,0.000440067,0.000440067
63,3334.8,1.01845,0.54202,1.04715,0.86495,0.8566,0.90882,0.70335,1.10539,0.61222,1.11443,0.000429068,0.000429068,0.000429068
64,3387.23,1.02769,0.54866,1.05302,0.84514,0.86307,0.90502,0.70288,1.10165,0.62759,1.11568,0.000418069,0.000418069,0.000418069
65,3438.82,1.01629,0.53966,1.05009,0.84744,0.85477,0.91106,0.70509,1.10148,0.60983,1.11924,0.00040707,0.00040707,0.00040707
66,3491.77,1.01255,0.53836,1.04951,0.85602,0.85127,0.91286,0.70925,1.09921,0.6201,1.11826,0.000396071,0.000396071,0.000396071
67,3543.91,1.00815,0.53837,1.04932,0.87166,0.81886,0.90262,0.69594,1.10186,0.6243,1.11632,0.000385073,0.000385073,0.000385073
68,3595.61,1.01128,0.53866,1.04851,0.82386,0.86953,0.90648,0.70545,1.1028,0.62472,1.12255,0.000374074,0.000374074,0.000374074
69,3647.13,1.00371,0.53087,1.04304,0.86122,0.84632,0.90762,0.70562,1.10042,0.61312,1.12069,0.000363075,0.000363075,0.000363075
70,3698.69,1.00337,0.53377,1.0457,0.88688,0.8413,0.91237,0.71544,1.09813,0.60567,1.11455,0.000352076,0.000352076,0.000352076
71,3750.06,1.0068,0.53119,1.04465,0.84687,0.86437,0.90766,0.71113,1.09722,0.61369,1.11301,0.000341077,0.000341077,0.000341077
72,3801.21,1.00391,0.52787,1.04339,0.88516,0.82748,0.91162,0.70871,1.0948,0.61269,1.11044,0.000330078,0.000330078,0.000330078
73,3852.62,0.99481,0.52305,1.03773,0.8486,0.86358,0.91214,0.71078,1.09358,0.61532,1.11022,0.000319079,0.000319079,0.000319079
74,3904.05,0.9963,0.52307,1.04159,0.84699,0.8789,0.92097,0.7164,1.09373,0.6085,1.11447,0.00030808,0.00030808,0.00030808
75,3956.44,1.00424,0.527,1.04469,0.86821,0.82667,0.90862,0.71214,1.09258,0.6161,1.1107,0.000297081,0.000297081,0.000297081
76,4008.54,0.98875,0.51642,1.03681,0.86822,0.84578,0.91247,0.70754,1.09225,0.60617,1.11338,0.000286083,0.000286083,0.000286083
77,4060.55,0.99171,0.51983,1.03921,0.83392,0.86326,0.91291,0.71143,1.09326,0.61382,1.11144,0.000275084,0.000275084,0.000275084
78,4112.36,0.98848,0.51963,1.0403,0.86007,0.86123,0.91499,0.71361,1.08979,0.60942,1.11252,0.000264085,0.000264085,0.000264085
79,4163.87,0.98114,0.51751,1.03679,0.85588,0.85718,0.91236,0.71238,1.08789,0.61412,1.1127,0.000253086,0.000253086,0.000253086
80,4214.82,0.97452,0.5092,1.0318,0.8618,0.85889,0.91301,0.71582,1.08623,0.61917,1.11118,0.000242087,0.000242087,0.000242087
81,4266.73,0.9714,0.50913,1.02948,0.84893,0.87699,0.9147,0.7163,1.08793,0.61695,1.11229,0.000231088,0.000231088,0.000231088
82,4319.45,0.98349,0.51315,1.03535,0.87016,0.84265,0.91376,0.71264,1.08984,0.61532,1.11291,0.000220089,0.000220089,0.000220089
